ticker,date,session,close,change_pct,rsi,cmf,body_ratio,prior_run_5d,prior_run_10d,value_b,vol_mult,noise_score,entry,tp,cl,confirmation,outcome,exit_date,pnl_pct,hold_days
BDKR,2026-04-29,SESI2,177,4.73,62.1,0.6047,0.833,6.29,10.46,10.424,1.0,3,177,187,168,NEW,CL,2026-04-30,-5.0,1
DSNG,2026-04-29,SESI2,1860,5.08,59.2,0.0847,0.68,5.67,2.91,51.447,1.0,3,1860,1971,1767,CONFIRMED,CL,2026-04-30,-5.0,1
ELSA,2026-04-28,SESI2,830,6.41,58.5,0.2332,0.583,7.59,13.04,127.93,1.0,3,830,879,788,CONFIRMED,CL,2026-04-30,-5.0,2
GULA,2026-04-08,SESI2,362,3.43,57.4,0.4465,0.5,3.55,29.63,8.314,1.0,3,362,383,343,NEW,CL,2026-04-09,-5.0,1
GULA,2026-05-05,SESI2,388,4.86,59.2,0.5923,0.556,4.52,17.83,26.837,1.0,3,388,411,368,NEW,TP,2026-05-07,6.0,2
GZCO,2026-04-13,SESI2,220,8.91,54.3,0.0544,0.727,4.12,12.85,21.013,1.0,3,220,233,209,NEW,TP,2026-04-14,6.0,1
IPCC,2026-04-27,SESI2,1345,4.26,49.7,0.1866,0.706,-0.77,0.39,4.229,1.0,3,1345,1425,1277,CONFIRMED,EXPIRED,2026-05-05,-4.46,5
MAIN,2026-04-09,SESI2,1005,3.61,71.0,0.4318,0.778,5.43,18.29,9.208,1.0,3,1005,1065,954,CONFIRMED,TP,2026-04-13,6.0,2
MARK,2026-05-08,SESI2,845,3.05,55.0,0.2058,0.714,1.86,2.5,15.333,1.0,3,845,895,802,NEW,NO_DATA,,0.0,0
PTBA,2026-03-25,SESI2,3130,7.56,65.1,0.4754,0.846,-1.36,5.82,333.416,1.0,3,3130,3317,2973,CONFIRMED,CL,2026-04-01,-5.0,5
RATU,2026-04-13,SESI2,6050,7.56,50.7,0.1324,0.655,8.7,8.17,176.615,1.0,3,6050,6413,5747,NEW,TP,2026-04-14,6.0,1
ULTJ,2026-04-29,SESI2,1695,4.95,60.8,0.1015,0.609,4.53,7.67,17.485,1.0,3,1695,1796,1610,CONFIRMED,CL,2026-05-04,-5.0,2
