AADI,Adaro Andalan Indonesia Tbk.
AALI,Astra Agro Lestari Tbk.
ABMM,ABM Investama Tbk.
ACES,Aspirasi Hidup Indonesia Tbk
ACST,Acset Indonusa Tbk.
ADCP,Adhi Commuter Properti Tbk.
ADES,Akasha Wira International Tbk.
ADHI,Adhi Karya (Persero) Tbk.
ADMG,Polychem Indonesia Tbk
ADMR,Alamtri Minerals Indonesia Tbk.
ADRO,Alamtri Resources Indonesia Tbk.
AGAR,Asia Sejahtera Mina Tbk
AGII,Samator Indo Gas Tbk.
AIMS,Artha Mahiya Investama Tbk
AISA,FKS Food Sejahtera Tbk.
AKKU,Anugerah Kagum Karya Utama Tbk.
AKPI,Argha Karya Prima Industry Tbk.
AKRA,AKR Corporindo Tbk.
AKSI,Mineral Sumberdaya Mandiri Tbk
ALDO,Alkindo Naratama Tbk.
ALKA,Alakasa Industrindo Tbk.
AMAN,Makmur Berkah Amanda Tbk.
AMFG,Asahimas Flat Glass Tbk.
AMIN,PT Ateliers Mecaniques D'Indonesie Tbk.
ANDI,Andira Agro Tbk.
ANJT,Austindo Nusantara Jaya Tbk.
ANTM,Aneka Tambang Tbk.
APII,Arita Prima Indonesia Tbk.
APLI,Asiaplast Industries Tbk.
APLN,Agung Podomoro Land Tbk.
ARCI,Archi Indonesia Tbk
AREA,Dunia Virtual Online Tbk
ARGO,Argo Pantes Tbk
ARII,Atlas Resources Tbk.
ARNA,Arwana Citramulia Tbk.
ARTA,Arthavest Tbk
ASGR,Astra Graphia Tbk.
ASHA,Cilacap Samudera Fishing Industry Tbk.
ASII,Astra International Tbk.
ASLC,Autopedia Sukses Lestari Tbk.
ASLI,Asri Karya Lestari Tbk.
ASPI,Andalan Sakti Primaindo Tbk.
ASRI,Alam Sutera Realty Tbk.
ASSA,Adi Sarana Armada Tbk.
ATAP,Trimitra Prawara Goldland Tbk
ATIC,Anabatic Technologies Tbk.
ATLA,Atlantis Subsea Indonesia Tbk.
AUTO,Astra Otoparts Tbk.
AVIA,Avia Avian Tbk.
AWAN,Era Digital Media Tbk.
AXIO,Tera Data Indonusa Tbk.
AYAM,Janu Putra Sejahtera Tbk.
AYLS,Agro Yasa Lestari Tbk.
BABY,Multitrend Indo Tbk.
BAIK,Bersama Mencapai Puncak Tbk.
BANK,Bank Aladin Syariah Tbk.
BAPI,Bhakti Agung Propertindo Tbk.
BATA,Sepatu Bata Tbk.
BATR,PT Benteng Api Technic Tbk
BAUT,Mitra Angkasa Sejahtera Tbk.
BAYU,Bayu Buana Tbk.
BBRM,Pelayaran National Bina Buana Raya Tbk.
BBSS,Bumi Benowo Sukses Sejahtera Tbk.
BCIP,Bumi Citra Permai Tbk.
BDKR,Berdikari Pondasi Perkasa Tbk.
BEEF,Estika Tata Tiara Tbk.
BELI,Global Digital Niaga Tbk.
