2026-02-18 13:01:45 [INFO] Telegram Config Loaded. Chat ID: 6711779207
2026-02-18 13:01:45 [INFO] Scanner BSJP V2.0.0 dimulai.
2026-02-18 13:01:45 [INFO] Membaca 'data/data.csv' (Kolom: AADI)
2026-02-18 13:01:45 [INFO] Total ticker unik: 666
2026-02-18 13:01:45 [INFO] Total saham untuk di-scan: 666
2026-02-18 13:01:45 [INFO] File blacklist.csv tidak ditemukan — tidak ada blacklist aktif.
2026-02-18 13:01:50 [INFO] HIT: ARTA | Chg: +6.69% | RSI: 53.5 | Score: 3/4 | Value: 0.30B
2026-02-18 13:01:51 [INFO] HIT: ASSA | Chg: +5.15% | RSI: 57.9 | Score: 3/4 | Value: 17.32B
2026-02-18 13:01:51 [INFO] HIT: ATAP | Chg: +25.00% | RSI: 61.6 | Score: 4/4 | Value: 18.23B
2026-02-18 13:01:54 [INFO] HIT: BBRM | Chg: +5.94% | RSI: 51.7 | Score: 3/4 | Value: 11.44B
2026-02-18 13:01:54 [INFO] HIT: BEEF | Chg: +7.69% | RSI: 46.7 | Score: 3/4 | Value: 5.13B
2026-02-18 13:01:56 [INFO] HIT: BKDP | Chg: +9.68% | RSI: 65.3 | Score: 3/4 | Value: 0.42B
2026-02-18 13:01:57 [INFO] HIT: BOAT | Chg: +10.40% | RSI: 51.4 | Score: 3/4 | Value: 4.76B
2026-02-18 13:02:00 [INFO] HIT: BULL | Chg: +23.33% | RSI: 59.2 | Score: 4/4 | Value: 670.57B
2026-02-18 13:02:01 [INFO] HIT: CASH | Chg: +9.52% | RSI: 58.7 | Score: 3/4 | Value: 1.61B
2026-02-18 13:02:10 [INFO] HIT: ELSA | Chg: +8.78% | RSI: 72.8 | Score: 3/4 | Value: 114.09B
2026-02-18 13:02:13 [INFO] HIT: FOLK | Chg: +25.00% | RSI: 56.3 | Score: 4/4 | Value: 21.44B
2026-02-18 13:02:17 [INFO] HIT: GTSI | Chg: +13.91% | RSI: 53.0 | Score: 3/4 | Value: 168.29B
2026-02-18 13:02:20 [INFO] HIT: HOPE | Chg: +10.00% | RSI: 59.4 | Score: 3/4 | Value: 3.74B
2026-02-18 13:02:20 [INFO] HIT: HUMI | Chg: +14.53% | RSI: 53.6 | Score: 4/4 | Value: 192.12B
2026-02-18 13:02:21 [INFO] HIT: ICON | Chg: +9.41% | RSI: 59.8 | Score: 3/4 | Value: 0.23B
